ticker	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	Inst Trans	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	SMA200	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price	Change
TDY	S&P 500	13.87B	385.50M	3.11B	82.23	12.72	-	-	11790	Yes	Yes	1.60	38.06	33.17	1.31	4.46	4.72	30.51	29.23	1.70	2.30	0.26	0.25	0.71%	10.20	11.70	3.10	19.20%	29.10%	13.30%	5.70%	-6.60%	-12.50%	Oct 21 BMO	0.96%	0.30%	0.00%	89.30%	0.29%	8.20%	13.60%	11.80%	38.40%	15.10%	12.40%	0.00%	13.62%	36.80M	36.33M	1.14%	1.74	404.00	195.34 - 398.99	-4.29%	95.50%	51.93	1.27	239.29K	225,685	8.97%	1.90%	20.18%	20.18%	3.50%	-0.98%	1.05	11.32	3.10% 2.94%	388.12	381.88	-1.61%
KEY	S&P 500	18.74B	1.11B	4.85B	16.35	2.33	0.74	3.91%	17097	Yes	Yes	2.90	16.63	12.71	-	3.87	1.16	8.12	22.94	-	-	0.80	0.80	8.80%	1.14	1.49	0.43	-5.50%	-0.66%	9.00%	15.40%	-15.00%	6.20%	Jan 21 BMO	15.17%	0.10%	-4.53%	83.90%	0.09%	0.70%	7.20%	11.40%	-	59.20%	23.20%	63.90%	41.23%	976.47M	971.33M	1.14%	1.28	17.49	7.45 - 20.24	-9.04%	147.11%	66.43	0.98	8.64M	6,317,250	2.38%	22.68%	49.41%	58.01%	-1.25%	15.36%	1.54	0.53	2.71% 2.79%	18.93	18.41	-2.75%
PFG	S&P 500	14.72B	1.22B	15.03B	56.95	12.98	2.24	4.17%	17601	Yes	Yes	2.70	12.17	8.87	1.81	0.98	0.94	4.14	4.32	-	-	0.28	0.27	7.47%	4.41	6.05	1.38	-7.30%	6.72%	5.90%	9.00%	-25.90%	-13.40%	Jan 28 AMC	9.29%	0.30%	-3.77%	72.10%	0.00%	0.50%	8.40%	7.80%	-	9.80%	8.10%	50.20%	26.93%	274.80M	274.04M	0.80%	1.42	51.27	23.31 - 57.16	-6.51%	129.26%	69.21	0.60	1.54M	687,468	3.79%	12.30%	30.21%	19.97%	-2.74%	8.24%	1.61	1.29	2.21% 2.35%	53.70	53.44	-0.48%
DPZ	S&P 500	14.51B	468.70M	3.91B	-81.83	11.58	3.12	0.83%	13100	Yes	Yes	2.10	32.00	28.91	2.12	3.71	-	32.28	43.26	1.80	2.00	-	-	-3.83%	11.68	12.93	3.87	14.40%	15.10%	27.30%	12.70%	17.90%	21.30%	Oct 08 BMO	-3.58%	0.40%	-12.72%	92.60%	-0.21%	31.40%	-14.10%	78.40%	38.50%	17.50%	12.00%	24.00%	-3.29%	39.25M	39.11M	3.18%	2.29	431.48	270.08 - 435.58	-14.19%	38.38%	37.60	0.76	543.63K	307,455	-2.45%	-2.46%	-7.29%	-8.27%	29.54%	-2.52%	0.40	7.98	2.37% 2.12%	373.80	373.75	-0.01%
PM	S&P 500	126.26B	7.68B	28.96B	-7.76	3.10	4.80	5.91%	73500	Yes	Yes	2.10	16.47	14.16	2.53	4.36	-	26.19	61.71	0.60	1.10	-	-	-2.30%	4.93	5.73	1.20	-9.60%	6.50%	-0.70%	0.00%	-2.60%	21.60%	Oct 20 BMO	1.43%	0.19%	-3.01%	75.40%	-0.02%	19.40%	-63.20%	42.30%	66.30%	38.90%	26.50%	94.90%	6.03%	1.56B	1.55B	0.61%	1.76	91.50	56.01 - 90.17	-10.33%	44.36%	45.17	0.54	5.40M	2,185,767	-2.17%	-3.82%	2.88%	7.74%	-8.08%	-1.94%	0.83	1.57	1.75% 1.69%	81.18	80.86	-0.40%
EL	S&P 500	89.55B	612.00M	13.96B	12.29	-	2.12	0.85%	48000	Yes	Yes	2.20	151.99	39.39	9.05	6.41	20.34	-	53.53	1.40	1.90	1.21	1.10	-3.53%	1.65	6.35	1.66	-61.40%	16.80%	-8.00%	5.80%	-8.50%	-11.80%	Feb 05 BMO	-0.34%	0.30%	-71.08%	91.80%	0.07%	3.40%	14.20%	2.50%	75.20%	3.80%	4.40%	85.10%	18.67%	362.10M	216.83M	0.79%	1.39	248.86	137.01 - 267.20	-6.44%	82.47%	43.49	0.87	1.23M	796,051	-3.19%	1.04%	12.20%	25.55%	14.43%	-6.07%	0.87	5.39	2.08% 2.07%	250.02	250.00	-0.01%
PYPL	S&P 500	274.94B	3.14B	20.30B	15.77	12.46	-	-	23200	Yes	Yes	1.90	91.41	53.48	3.98	13.54	15.35	19.42	54.37	1.40	1.40	0.00	0.48	2.28%	2.65	4.53	0.99	19.90%	22.99%	43.20%	17.20%	24.70%	120.60%	Nov 02 AMC	11.61%	0.11%	-16.18%	85.60%	0.11%	5.40%	18.20%	10.00%	45.90%	15.40%	15.50%	0.00%	33.73%	1.17B	1.17B	1.29%	1.67	233.44	82.07 - 249.85	-3.24%	194.57%	60.44	0.74	9.01M	4,963,880	2.99%	9.63%	18.89%	42.55%	110.76%	3.36%	1.14	7.24	3.19% 2.80%	242.06	241.75	-0.13%
AEP	S&P 500	39.48B	1.92B	14.92B	41.19	1.24	2.96	3.75%	17408	Yes	Yes	2.30	20.40	16.97	3.61	2.65	1.91	63.81	16.66	0.30	0.50	1.59	1.38	-1.42%	3.86	4.65	0.76	0.10%	5.65%	3.60%	-1.00%	-5.80%	1.60%	Oct 22 BMO	-5.02%	0.01%	-3.54%	76.80%	-0.06%	2.50%	9.60%	5.30%	79.90%	18.20%	12.90%	72.30%	-4.25%	496.18M	495.87M	1.23%	2.02	96.13	65.14 - 104.97	-23.90%	22.64%	42.99	1.12	3.03M	2,520,670	-1.33%	-4.11%	-11.76%	-7.36%	-18.40%	-5.33%	0.24	1.67	1.89% 2.03%	78.83	79.88	1.33%
PFE	S&P 500	203.94B	8.36B	48.65B	11.74	1.89	1.56	4.24%	88300	Yes	Yes	2.70	24.70	11.98	-	4.19	3.13	19.43	97.58	1.10	1.40	0.97	0.76	-1.21%	1.49	3.07	0.51	62.30%	-1.00%	14.70%	0.90%	-4.30%	-71.30%	Feb 02 BMO	-2.21%	0.05%	-6.01%	69.90%	-0.14%	5.00%	13.50%	14.70%	80.10%	13.30%	17.90%	95.80%	4.04%	5.56B	5.55B	1.14%	1.37	41.79	26.42 - 43.08	-14.76%	38.98%	43.34	0.55	46.21M	18,972,514	-0.84%	-6.27%	5.21%	8.93%	-4.65%	-0.16%	0.68	0.80	1.71% 1.77%	36.75	36.72	-0.08%
ODFL	S&P 500	23.92B	626.90M	3.95B	27.06	5.43	0.60	0.29%	20105	Yes	Yes	2.80	39.35	30.41	2.73	6.05	7.67	38.23	41.22	2.50	2.50	0.05	0.03	4.91%	5.27	6.82	1.55	3.70%	14.41%	19.80%	8.10%	0.90%	25.20%	Feb 04 BMO	3.26%	12.66%	-0.04%	73.70%	-0.04%	15.40%	20.50%	19.50%	90.20%	21.30%	15.90%	10.70%	14.97%	117.19M	102.48M	1.55%	2.37	205.54	105.80 - 213.66	-2.84%	96.21%	60.22	0.84	671.17K	420,551	2.75%	6.22%	2.47%	14.67%	51.05%	6.32%	0.97	5.04	2.37% 2.26%	207.51	207.59	0.04%
LNT	S&P 500	11.95B	661.90M	3.48B	22.86	0.76	1.52	3.16%	3597	Yes	Yes	2.20	17.95	18.69	3.04	3.44	2.10	63.24	-	0.60	0.80	1.23	1.15	-1.72%	2.68	2.57	0.24	7.50%	5.90%	6.00%	1.70%	-7.10%	4.50%	Nov 02 AMC	-6.09%	0.10%	0.00%	75.70%	-0.06%	3.90%	12.10%	6.00%	94.60%	22.70%	19.00%	55.70%	-4.42%	249.70M	249.43M	0.97%	2.05	59.22	37.66 - 60.28	-18.38%	30.64%	42.82	0.92	1.17M	802,606	-2.08%	-6.33%	-11.03%	-3.30%	-14.52%	-6.68%	0.32	1.10	2.33% 2.28%	48.09	49.20	2.31%
MDLZ	S&P 500	81.36B	3.13B	26.20B	18.81	1.94	1.26	2.20%	80000	Yes	Yes	1.80	26.46	20.34	4.05	3.11	3.05	29.49	43.02	0.50	0.70	0.75	0.70	-0.86%	2.17	2.82	0.66	16.20%	6.53%	15.70%	-5.50%	4.90%	-20.50%	Nov 02 AMC	-0.48%	0.11%	-70.62%	78.70%	0.00%	4.80%	11.80%	8.40%	39.40%	13.80%	11.90%	53.70%	4.38%	1.43B	1.43B	0.69%	1.66	64.27	41.19 - 60.00	-4.53%	39.06%	45.75	0.91	5.91M	4,018,810	-0.78%	0.03%	-2.18%	8.05%	4.69%	-1.98%	0.62	0.86	1.51% 1.43%	57.31	57.28	-0.05%
ADP	S&P 500	68.54B	2.48B	14.56B	13.55	-	3.72	2.30%	58000	Yes	Yes	2.90	28.17	25.57	2.54	4.71	11.95	-	49.04	1.10	1.10	0.34	0.34	-7.07%	5.75	6.33	1.29	8.50%	11.07%	14.50%	5.90%	-0.70%	4.70%	Jan 27 BMO	-7.00%	0.10%	-43.87%	82.20%	0.01%	5.70%	44.40%	30.80%	42.20%	21.60%	17.10%	60.90%	6.78%	428.60M	427.71M	0.93%	2.29	169.72	103.11 - 182.32	-12.11%	55.41%	30.62	0.83	1.73M	1,070,566	-4.11%	-6.49%	9.02%	10.76%	-6.31%	-8.11%	0.72	3.51	2.21% 1.88%	161.91	160.24	-1.03%
PNW	S&P 500	8.69B	509.80M	3.52B	51.84	1.61	3.32	4.31%	97	Yes	Yes	2.70	17.07	15.30	4.59	2.47	1.49	47.80	-	0.90	1.20	1.09	1.08	0.11%	4.51	5.04	0.07	-18.00%	3.72%	0.50%	-0.10%	5.30%	10.70%	Oct 30 BMO	-4.21%	0.10%	0.00%	86.00%	-0.04%	3.30%	11.40%	5.00%	-	21.90%	18.00%	55.60%	0.18%	112.68M	112.33M	2.06%	2.63	88.77	60.05 - 105.51	-25.77%	30.42%	47.38	0.53	879.40K	347,630	-1.14%	-2.64%	-4.00%	-4.36%	-16.83%	-3.63%	0.27	1.73	2.01% 2.23%	77.05	78.32	1.65%
AMZN	S&P 500	1559.08B	17.38B	347.95B	165.22	137.21	-	-	1125300	Yes	Yes	1.70	91.59	68.87	2.52	4.48	18.93	22.79	63.22	0.90	1.10	0.61	0.61	-2.71%	34.15	45.41	7.15	15.90%	36.35%	115.10%	25.80%	37.40%	192.00%	Oct 29 AMC	-1.83%	10.60%	-3.70%	58.70%	-0.05%	7.00%	24.50%	11.70%	40.20%	5.70%	5.00%	0.00%	6.16%	501.00M	428.51M	0.71%	0.72	3819.30	1626.03 - 3552.25	-12.34%	91.51%	43.50	0.88	4.21M	2,753,839	-1.10%	-0.93%	-7.02%	4.25%	67.96%	-3.97%	1.15	64.94	1.77% 1.97%	3127.47	3113.96	-0.43%
SLG	S&P 500	4.45B	202.50M	1.13B	66.20	3.09	3.64	5.86%	1033	Yes	Yes	2.80	23.74	-	-	3.95	0.94	20.10	-	-	-	1.16	1.16	4.84%	2.62	-1.02	-0.20	16.20%	-10.84%	-1.80%	-4.00%	-20.30%	-53.00%	Jan 27 AMC	7.73%	0.48%	0.00%	-	-1.53%	1.60%	4.10%	3.80%	63.60%	24.50%	18.00%	144.40%	25.69%	73.02M	71.07M	14.16%	6.01	66.07	34.18 - 93.71	-34.31%	80.08%	59.62	0.64	1.67M	792,061	4.34%	6.39%	35.11%	31.17%	-29.63%	4.20%	1.70	2.15	2.91% 3.52%	62.08	61.56	-0.84%
WAT	S&P 500	16.25B	503.90M	2.30B	-0.67	6.42	-	-	7500	Yes	Yes	3.20	32.87	28.35	6.71	7.08	-	40.92	30.32	1.30	1.80	-	-	5.22%	8.00	9.28	2.87	12.70%	4.90%	11.30%	3.90%	2.90%	-1.60%	Oct 27 BMO	11.23%	0.40%	-28.39%	92.40%	0.05%	19.10%	-255.90%	42.30%	57.10%	26.90%	22.00%	0.00%	26.77%	62.00M	61.69M	3.09%	4.75	227.93	154.39 - 269.40	-1.04%	72.68%	73.23	0.54	401.92K	160,075	0.81%	9.20%	23.90%	17.35%	12.18%	6.26%	0.84	5.36	2.17% 2.09%	262.90	266.61	1.41%
GOOGL	S&P 500	1159.65B	35.71B	171.70B	313.37	197.92	-	-	132121	Yes	Yes	1.80	33.45	28.24	1.99	6.75	5.52	8.75	34.09	3.40	3.40	0.07	0.07	-0.20%	51.75	61.30	15.64	12.50%	16.81%	19.90%	19.70%	14.00%	62.00%	Oct 29 AMC	-0.91%	0.12%	0.00%	80.30%	0.01%	12.70%	17.30%	14.10%	53.60%	20.30%	20.80%	0.00%	13.85%	679.45M	610.48M	0.46%	1.72	1924.15	1008.87 - 1843.83	-5.56%	72.60%	48.87	0.79	1.63M	963,160	-2.45%	-1.22%	10.71%	14.26%	20.27%	-1.24%	1.01	37.71	2.22% 2.04%	1730.92	1741.28	0.60%
CTAS	S&P 500	34.83B	956.30M	6.93B	34.27	6.61	3.51	1.07%	40000	Yes	Yes	2.40	36.79	33.11	2.94	5.02	9.55	49.53	30.78	1.70	2.10	0.71	0.64	-6.23%	8.89	9.88	2.14	1.60%	12.50%	19.10%	10.10%	-51.90%	-42.90%	Dec 22 BMO	-7.65%	0.70%	-21.15%	66.70%	0.22%	11.90%	27.80%	17.00%	45.80%	17.70%	13.80%	27.90%	8.94%	105.00M	89.83M	0.98%	2.03	373.70	154.33 - 369.20	-12.02%	110.48%	34.55	1.17	434.77K	377,830	-7.86%	-5.79%	-6.85%	17.91%	14.93%	-7.45%	1.48	9.25	2.61% 2.74%	327.14	324.83	-0.71%
TYL	S&P 500	16.96B	187.50M	1.12B	47.15	14.20	-	-	5511	Yes	Yes	2.30	91.93	71.33	9.19	15.11	8.89	29.53	53.83	1.90	1.90	0.00	0.00	-3.01%	4.56	5.88	1.42	0.60%	10.00%	17.00%	17.10%	3.70%	-5.80%	Nov 04 AMC	-1.38%	0.90%	-33.12%	95.20%	-0.17%	8.10%	10.60%	8.80%	48.70%	15.10%	16.70%	0.00%	14.73%	40.26M	39.79M	3.08%	4.99	427.50	247.22 - 466.21	-9.51%	70.65%	42.54	0.39	245.40K	71,562	-4.22%	-6.11%	6.53%	19.33%	34.66%	-3.96%	0.63	10.21	2.07% 2.31%	419.22	421.88	0.63%
PVH	S&P 500	7.30B	-1145.80M	7.64B	65.77	20.24	-	-	21500	Yes	Yes	2.40	-	15.53	-	0.96	1.54	5.00	9.84	1.00	1.50	0.75	0.74	2.72%	-16.03	6.52	-0.31	-40.10%	-5.46%	1.20%	3.80%	-18.10%	-65.40%	Dec 02 AMC	15.65%	0.70%	-47.69%	-	-0.03%	-8.70%	-23.40%	6.20%	53.00%	-15.60%	-15.00%	-	64.53%	71.10M	70.75M	3.27%	2.01	98.95	28.40 - 108.84	-7.35%	255.07%	57.50	0.44	1.15M	377,961	-4.05%	8.15%	62.72%	97.48%	2.52%	7.82%	2.41	3.80	3.92% 3.66%	101.23	100.84	-0.39%
LYV	S&P 500	15.82B	-1472.50M	4.51B	-0.47	12.17	-	-	10500	Yes	Yes	2.50	-	-	-	3.51	-	6.03	-	1.10	1.10	-	-	-1.09%	-6.95	-1.94	-2.33	72.70%	-	45.50%	11.00%	-95.10%	-446.00%	Nov 05 AMC	4.53%	1.80%	0.00%	76.30%	1.92%	-13.00%	-262.00%	5.80%	25.00%	-29.90%	-32.60%	-	34.18%	212.59M	158.98M	9.59%	6.07	65.00	21.70 - 76.60	-5.80%	232.53%	52.06	0.49	2.51M	907,503	0.44%	4.24%	34.90%	44.21%	-1.17%	-0.20%	1.37	2.10	2.50% 2.83%	73.33	72.16	-1.60%
AMAT	S&P 500	95.61B	3.62B	17.20B	11.55	6.35	0.88	0.83%	24000	Yes	Yes	2.00	26.98	19.68	1.70	5.56	9.16	16.66	36.85	2.10	3.00	0.52	0.52	14.06%	3.92	5.38	1.26	38.20%	15.90%	28.40%	12.20%	24.90%	63.80%	Nov 12 AMC	23.16%	0.50%	-0.02%	83.20%	0.19%	17.00%	38.30%	23.80%	44.70%	25.40%	21.00%	21.80%	59.09%	916.00M	908.80M	1.27%	1.63	92.56	36.64 - 106.60	-3.42%	180.98%	73.27	0.99	7.10M	5,238,171	11.89%	19.55%	65.36%	69.71%	70.84%	22.60%	1.48	3.10	3.31% 2.90%	105.80	102.95	-2.69%
AVGO	S&P 500	182.93B	2.66B	23.89B	58.95	18.83	14.40	3.19%	21000	Yes	Yes	1.90	71.58	16.18	9.06	7.66	7.67	24.01	30.17	1.70	1.90	1.72	1.69	2.47%	6.32	27.95	6.55	-2.10%	7.90%	5.00%	28.50%	12.00%	49.90%	Dec 10 AMC	9.06%	0.20%	-57.72%	83.20%	0.03%	3.40%	11.10%	7.20%	56.70%	16.80%	11.10%	196.70%	31.19%	405.00M	396.59M	0.91%	2.22	466.32	155.67 - 458.50	-2.74%	186.48%	62.69	0.87	1.62M	1,056,228	1.96%	9.78%	18.87%	45.20%	49.13%	3.25%	1.05	9.80	1.87% 2.12%	452.07	445.96	-1.35%
BIIB	S&P 500	42.77B	5.08B	14.26B	68.57	23.46	-	-	7400	Yes	Yes	2.70	9.28	11.17	-	3.00	4.09	11.95	6.71	1.80	2.10	0.69	0.69	9.76%	30.21	25.10	4.90	44.80%	-5.52%	20.50%	8.20%	-6.20%	-46.80%	Oct 21 BMO	10.13%	0.63%	0.17%	88.00%	0.05%	19.60%	42.40%	30.50%	87.60%	46.70%	35.60%	0.00%	-0.60%	156.90M	152.92M	2.51%	2.18	290.48	223.25 - 374.99	-26.21%	23.95%	70.47	0.65	1.76M	849,721	11.92%	14.29%	-3.83%	-0.94%	-6.25%	14.47%	0.49	6.89	3.76% 2.54%	280.29	276.71	-1.28%
ZBRA	S&P 500	22.16B	474.00M	4.33B	36.23	0.73	-	-	8200	Yes	Yes	2.20	46.86	28.59	4.69	5.12	11.37	568.22	30.36	0.40	0.70	0.81	0.56	5.68%	8.79	14.41	3.80	30.90%	10.00%	74.00%	21.80%	0.20%	-13.20%	Nov 03 BMO	10.56%	0.60%	-26.82%	90.50%	-0.06%	9.90%	26.00%	20.50%	44.50%	14.00%	10.90%	0.00%	43.91%	53.30M	52.71M	0.96%	1.40	385.70	150.06 - 419.21	-1.92%	174.00%	68.07	0.66	364.18K	179,934	0.70%	7.44%	44.67%	53.92%	66.26%	7.19%	1.63	10.35	2.75% 2.73%	411.98	411.17	-0.20%
KR	S&P 500	25.38B	2.95B	130.65B	13.04	2.85	0.72	2.17%	435000	Yes	Yes	2.60	8.83	12.39	1.10	0.19	2.54	11.64	8.03	0.40	0.80	1.34	1.18	7.33%	3.75	2.67	0.69	-45.80%	8.04%	3.20%	2.40%	6.30%	148.70%	Dec 03 BMO	6.48%	0.70%	-4.57%	89.20%	0.06%	6.30%	31.20%	8.60%	23.10%	2.70%	2.30%	17.40%	2.47%	772.00M	756.30M	9.92%	7.09	35.13	26.72 - 37.22	-8.92%	26.87%	71.15	1.32	10.58M	10,361,142	4.15%	5.88%	-2.07%	-1.75%	17.14%	4.35%	0.33	0.59	2.52% 1.70%	33.14	33.90	2.29%
CHD	S&P 500	20.87B	780.10M	4.74B	12.96	2.22	0.96	1.14%	4800	Yes	Yes	2.50	27.27	27.65	2.80	4.40	6.52	38.01	28.87	1.00	1.50	0.56	0.56	-1.08%	3.10	3.06	0.52	7.70%	9.74%	10.20%	5.70%	13.90%	37.20%	Jan 29 BMO	-1.53%	0.10%	-75.66%	86.10%	1.89%	11.10%	26.70%	14.40%	46.00%	21.80%	16.40%	29.90%	1.33%	248.45M	247.84M	1.83%	3.01	93.50	47.98 - 98.96	-13.84%	77.70%	45.32	0.80	1.51M	894,033	-0.46%	-1.80%	-10.54%	0.37%	17.64%	-3.12%	0.35	1.40	1.69% 1.57%	84.51	85.26	0.89%
WHR	S&P 500	12.26B	940.00M	19.04B	53.85	55.50	5.00	2.59%	77000	Yes	Yes	2.90	13.03	10.12	65.15	0.64	3.58	3.48	8.65	0.80	1.00	2.08	1.47	4.36%	14.80	19.07	5.95	765.20%	0.20%	19.00%	0.50%	3.90%	12.50%	Jan 27 AMC	2.57%	0.45%	-13.06%	96.90%	-0.82%	4.50%	27.60%	15.70%	18.60%	7.00%	4.60%	34.60%	21.70%	62.60M	62.26M	6.73%	5.83	207.38	64.00 - 207.30	-6.81%	201.85%	59.57	0.90	719.75K	482,242	5.70%	4.80%	-5.19%	33.65%	25.30%	6.86%	1.88	5.63	3.41% 3.02%	192.87	193.18	0.16%
CMG	S&P 500	38.54B	237.20M	5.82B	64.55	36.82	-	-	83000	Yes	Yes	2.20	168.92	66.16	6.55	6.63	21.87	38.34	98.17	1.50	1.50	0.00	0.00	0.80%	8.36	21.34	3.73	103.40%	25.77%	-2.60%	6.30%	14.10%	-18.80%	Feb 02 AMC	5.24%	0.10%	-74.01%	97.70%	5.22%	4.50%	13.80%	20.00%	23.80%	4.70%	4.10%	0.00%	21.12%	27.97M	27.66M	3.34%	2.78	1434.65	415.00 - 1453.50	-3.43%	238.23%	57.01	0.49	332.40K	120,337	3.19%	7.81%	6.84%	24.99%	63.20%	1.81%	1.31	34.58	2.49% 2.41%	1411.80	1403.65	-0.58%
SWK	S&P 500	27.85B	951.50M	13.84B	56.74	4.25	2.80	1.62%	59438	Yes	Yes	2.30	28.08	17.92	3.78	2.01	3.05	40.78	26.10	0.70	1.40	0.53	0.53	-2.94%	6.17	9.66	2.93	19.60%	7.43%	3.40%	5.00%	6.00%	59.50%	Jan 28 BMO	-4.16%	0.30%	-26.22%	90.40%	0.07%	4.30%	11.70%	11.10%	33.60%	8.60%	6.90%	44.60%	12.74%	160.22M	159.89M	1.91%	2.79	202.47	70.00 - 195.00	-11.88%	145.47%	41.20	0.92	1.09M	745,225	-2.40%	1.63%	-2.45%	13.32%	3.64%	-3.02%	1.44	4.54	2.43% 2.42%	173.17	171.83	-0.77%
ANET	S&P 500	22.90B	712.20M	2.22B	40.58	38.90	-	-	2300	Yes	Yes	2.20	35.06	31.78	5.31	10.31	7.72	8.05	26.47	4.80	5.50	0.00	0.00	8.11%	8.93	9.85	2.38	157.20%	6.60%	52.50%	32.80%	-7.50%	-17.90%	Nov 02 AMC	13.58%	0.10%	-93.43%	65.30%	-0.15%	16.70%	24.00%	27.80%	64.10%	30.70%	32.10%	0.00%	36.09%	76.00M	54.25M	4.58%	3.61	286.64	156.63 - 320.26	-0.94%	102.55%	70.97	0.57	687.98K	294,250	5.79%	14.07%	37.31%	45.55%	46.73%	7.75%	1.10	7.89	2.84% 2.24%	313.10	317.26	1.33%
AKAM	S&P 500	16.64B	562.80M	3.12B	25.24	8.93	-	-	7724	Yes	Yes	2.00	30.13	18.82	2.89	5.33	4.07	11.52	15.42	3.10	3.10	0.00	0.46	1.33%	3.41	5.46	1.31	63.00%	10.44%	9.50%	8.10%	11.70%	13.70%	Oct 27 AMC	2.97%	2.12%	-0.65%	93.70%	0.29%	7.80%	14.70%	9.00%	65.20%	21.10%	18.00%	0.00%	0.79%	162.76M	159.35M	6.22%	5.94	126.86	75.18 - 120.00	-11.55%	41.18%	57.37	1.45	1.67M	1,803,806	0.04%	-0.41%	-9.25%	-7.89%	8.13%	-2.04%	0.40	1.97	1.74% 1.88%	102.85	106.14	3.20%
MET	S&P 500	46.57B	5.60B	65.70B	80.68	27.03	1.84	3.57%	49000	Yes	Yes	2.00	8.47	8.33	2.52	0.71	0.64	1.91	4.65	-	-	0.25	0.24	8.00%	6.09	6.19	1.48	23.30%	3.36%	2.30%	-1.00%	-14.30%	-69.90%	Feb 03 AMC	10.44%	0.10%	-0.40%	77.40%	-0.05%	0.70%	7.90%	8.30%	-	11.60%	8.50%	29.40%	30.87%	908.70M	762.65M	1.93%	2.58	53.08	22.85 - 53.28	-3.73%	124.46%	72.02	0.56	5.72M	2,404,011	4.01%	12.50%	32.33%	33.15%	-0.54%	9.84%	1.35	1.19	2.23% 2.32%	51.57	51.29	-0.54%
MCD	DJIA S&P500	152.56B	4.93B	19.24B	-11.38	-	5.16	2.47%	205000	Yes	Yes	1.90	31.82	25.04	5.79	7.93	-	-	290.25	1.10	1.10	-	-	-1.27%	6.55	8.33	1.80	4.00%	5.50%	10.50%	-5.10%	-1.50%	11.70%	Jan 28 BMO	-1.71%	0.06%	-7.58%	68.80%	-0.04%	9.90%	-55.60%	27.40%	51.00%	38.80%	25.60%	75.70%	3.57%	744.50M	744.49M	0.82%	1.95	241.68	124.23 - 231.91	-9.53%	68.88%	44.50	0.69	3.13M	1,615,575	-1.64%	-1.61%	-8.40%	9.21%	-0.61%	-2.83%	0.62	3.39	1.63% 1.50%	208.50	209.80	0.62%
ANSS	S&P 500	30.88B	384.10M	1.54B	41.84	10.10	-	-	4100	Yes	Yes	2.50	83.65	52.33	13.09	20.00	8.82	36.53	65.75	2.60	2.60	0.12	0.12	1.07%	4.41	7.05	2.54	6.90%	6.39%	14.10%	10.10%	6.70%	-16.90%	Nov 04 AMC	6.77%	0.40%	-12.78%	94.90%	0.12%	8.10%	11.20%	11.20%	86.60%	27.40%	24.90%	0.00%	18.93%	85.80M	85.06M	1.55%	3.22	350.73	200.07 - 378.85	-3.40%	82.92%	56.95	0.91	409.60K	276,215	1.10%	7.47%	5.02%	24.97%	39.64%	1.44%	1.23	8.89	2.46% 2.35%	369.05	365.97	-0.83%
NEM	S&P 500	52.78B	2.40B	11.08B	28.22	6.17	1.60	2.53%	16600	Yes	Yes	2.00	21.40	14.51	0.50	4.76	2.24	10.27	21.64	2.50	2.80	0.29	0.27	1.62%	2.96	4.36	0.97	800.20%	43.18%	24.50%	7.40%	16.80%	-72.00%	Oct 29 BMO	1.33%	0.10%	-13.98%	84.20%	-0.08%	6.40%	11.70%	10.10%	53.80%	20.60%	23.20%	24.50%	0.86%	803.00M	801.15M	0.83%	1.08	81.04	33.00 - 72.22	-13.31%	89.73%	53.21	0.64	6.12M	2,935,211	-2.78%	10.02%	-1.05%	2.89%	45.52%	5.74%	0.21	1.65	2.52% 2.34%	63.33	62.61	-1.14%
STZ	S&P 500	43.08B	1.09B	8.13B	68.67	0.79	3.00	1.34%	9000	Yes	Yes	2.20	41.87	21.73	4.54	5.30	3.26	281.77	26.77	1.00	1.70	0.83	0.78	0.36%	5.35	10.30	1.59	-100.40%	9.23%	-15.10%	6.70%	21.90%	216.60%	Jan 07 BMO	5.46%	0.30%	-75.72%	84.60%	-0.02%	7.50%	16.70%	12.80%	51.00%	34.10%	24.80%	28.80%	20.19%	193.85M	153.47M	2.51%	3.42	236.40	104.28 - 240.76	-8.23%	111.88%	54.84	0.60	1.13M	504,119	-2.17%	8.16%	22.28%	23.54%	17.32%	2.21%	1.19	5.17	2.34% 2.18%	223.90	220.95	-1.32%
